rank,attack_id,attack_vector,final_score,threat_grade,Public Internet / Edge multiplier,Public Internet / Edge grade,Identity / IAM multiplier,Identity / IAM grade,Cloud Control Plane multiplier,Cloud Control Plane grade,SaaS / Office / Email multiplier,SaaS / Office / Email grade,Network / Perimeter multiplier,Network / Perimeter grade,Server / Workload multiplier,Server / Workload grade,Data / Storage multiplier,Data / Storage grade,Endpoint / User multiplier,Endpoint / User grade,Containers / Kubernetes multiplier,Containers / Kubernetes grade,ESXi / Hypervisor multiplier,ESXi / Hypervisor grade,Mobile multiplier,Mobile grade,ICS / OT multiplier,ICS / OT grade
233,T1134.002,Create Process with Token,5.21,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.165,Moderate,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
234,T1555.001,Keychain,5.21,Medium High,1.0,Not Material,1.228,High,1.112,Moderate,1.056,Low,1.075,Low,1.11,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
235,T1080,Taint Shared Content,5.21,Medium High,1.14,Moderate,1.28,High,1.272,High,1.224,High,1.2,Moderate,1.209,Moderate,1.225,High,1.135,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
236,T1555.005,Password Managers,5.21,Medium High,1.052,Low,1.228,High,1.0,Not Material,1.056,Low,1.0,Not Material,1.154,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
237,T1070.003,Clear Command History,5.21,Medium High,1.087,Low,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.175,Moderate,1.135,Moderate,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
238,T1021.005,VNC,5.21,Medium High,1.123,Moderate,1.28,High,1.0,Not Material,1.0,Not Material,1.25,High,1.209,Moderate,1.137,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
239,T1690,Prevent Command History Logging,5.21,Medium High,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.176,Moderate,1.137,Moderate,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
240,T1574.006,Dynamic Linker Hijacking,5.21,Medium High,1.0,Not Material,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.125,Moderate,1.22,High,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.113,Moderate
241,T1552.002,Credentials in Registry,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
242,T1027.004,Compile After Delivery,5.21,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.098,Low,1.188,Moderate,1.121,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
243,T1558.003,Kerberoasting,5.21,Medium High,1.0,Not Material,1.35,Severe,1.112,Moderate,1.056,Low,1.125,Moderate,1.209,Moderate,1.137,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
244,T1542.003,Bootkit,5.21,Medium High,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.198,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
245,T1036.001,Invalid Code Signature,5.21,Medium High,1.0,Not Material,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
246,T1003.005,Cached Domain Credentials,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
247,T1679,Selective Exclusion,5.21,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
248,T1547.013,XDG Autostart Entries,5.21,Medium High,1.0,Not Material,1.263,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
249,T1553.001,Gatekeeper Bypass,5.21,Medium High,1.14,Moderate,1.0,Not Material,1.176,Moderate,1.0,Not Material,1.075,Low,1.143,Moderate,1.137,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.024,Low,1.0,Not Material
250,T1098.004,SSH Authorized Keys,5.21,Medium High,1.087,Low,1.228,High,1.32,Severe,1.0,Not Material,1.188,Moderate,1.22,High,1.225,High,1.15,Moderate,1.022,Low,1.32,Severe,1.036,Low,1.0,Not Material
251,T1078.001,Default Accounts,5.21,Medium High,1.28,High,1.35,Severe,1.32,Severe,1.28,High,1.238,High,1.198,Moderate,1.0,Not Material,1.097,Low,1.22,High,1.304,High,1.036,Low,1.0,Not Material
252,T1558.001,Golden Ticket,5.21,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
253,T1552.005,Cloud Instance Metadata API,5.21,Medium High,1.298,High,1.228,High,1.32,Severe,1.056,Low,1.238,High,1.154,Moderate,1.087,Low,1.052,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
254,T1550.001,Application Access Token,5.21,Medium High,1.175,Moderate,1.35,Severe,1.32,Severe,1.28,High,1.075,Low,1.154,Moderate,1.087,Low,1.067,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
255,T1134.003,Make and Impersonate Token,5.21,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.165,Moderate,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
256,T1110.002,Password Cracking,5.21,Medium High,1.087,Low,1.35,Severe,1.224,High,1.28,High,1.188,Moderate,1.176,Moderate,1.175,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
257,T1003.006,DCSync,5.21,Medium High,1.07,Low,1.35,Severe,1.064,Low,1.056,Low,1.238,High,1.099,Low,1.087,Low,1.067,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
258,T1558.002,Silver Ticket,5.21,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
259,T1556.002,Password Filter DLL,5.21,Medium High,1.0,Not Material,1.298,High,1.0,Not Material,1.056,Low,1.0,Not Material,1.198,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
260,T1548.003,Sudo and Sudo Caching,5.21,Medium High,1.0,Not Material,1.228,High,1.112,Moderate,1.0,Not Material,1.0,Not Material,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
261,T1027.012,LNK Icon Smuggling,5.21,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.098,Low,1.188,Moderate,1.176,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
262,T1621,Multi-Factor Authentication Request Generation,5.21,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.28,High,1.0,Not Material,1.121,Moderate,1.0,Not Material,1.067,Low,1.022,Low,1.0,Not Material,1.024,Low,1.0,Not Material
263,T1556.004,Network Device Authentication,5.21,Medium High,1.087,Low,1.35,Severe,1.0,Not Material,1.14,Moderate,1.188,Moderate,1.198,Moderate,1.087,Low,1.09,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
264,T1547.015,Login Items,5.21,Medium High,1.0,Not Material,1.228,High,1.064,Low,1.098,Low,1.05,Low,1.187,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
265,T1547.005,Security Support Provider,5.21,Medium High,1.0,Not Material,1.228,High,1.064,Low,1.0,Not Material,1.05,Low,1.198,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
266,T1136.003,Cloud Account,5.21,Medium High,1.087,Low,1.35,Severe,1.32,Severe,1.28,High,1.0,Not Material,1.198,Moderate,1.0,Not Material,1.097,Low,1.022,Low,1.048,Low,1.0,Not Material,1.0,Not Material
267,T1098.002,Additional Email Delegate Permissions,5.21,Medium High,1.245,High,1.35,Severe,1.112,Moderate,1.28,High,1.075,Low,1.22,High,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
268,T1055.013,Process Doppelgänging,5.21,Medium High,1.0,Not Material,1.105,Low,1.064,Low,1.0,Not Material,1.0,Not Material,1.165,Moderate,1.175,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
269,T1027.006,HTML Smuggling,5.21,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
270,T1021.007,Cloud Services,5.21,Medium High,1.175,Moderate,1.28,High,1.32,Severe,1.224,High,1.075,Low,1.176,Moderate,1.087,Low,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
271,T1003.007,Proc Filesystem,5.21,Medium High,1.087,Low,1.228,High,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.176,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
272,T1685.002,Disable or Modify Cloud Log,5.21,Medium High,1.087,Low,1.28,High,1.32,Severe,1.28,High,1.0,Not Material,1.121,Moderate,1.137,Moderate,1.067,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
273,T1647,Plist File Modification,5.21,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.143,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
274,T1564.009,Resource Forking,5.21,Medium High,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.11,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
275,T1556.009,Conditional Access Policies,5.21,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.266,High,1.05,Low,1.198,Moderate,1.087,Low,1.052,Low,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
276,T1556.003,Pluggable Authentication Modules,5.21,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.056,Low,1.0,Not Material,1.22,High,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
277,T1546.001,Change Default File Association,5.21,Medium High,1.0,Not Material,1.263,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
278,T1542.002,Component Firmware,5.21,Medium High,1.052,Low,1.228,High,1.0,Not Material,1.0,Not Material,1.05,Low,1.143,Moderate,1.087,Low,1.075,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
279,T1505.006,vSphere Installation Bundles,5.21,Medium High,1.07,Low,1.105,Low,1.0,Not Material,1.084,Low,1.125,Moderate,1.22,High,1.225,High,1.12,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
280,T1211,Exploitation for Stealth,5.21,Medium High,1.21,High,1.28,High,1.272,High,1.21,High,1.05,Low,1.154,Moderate,1.087,Low,1.135,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
281,T1134.005,SID-History Injection,5.21,Medium High,1.052,Low,1.35,Severe,1.0,Not Material,1.084,Low,1.05,Low,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
282,T1098.005,Device Registration,5.21,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.28,High,1.075,Low,1.198,Moderate,1.087,Low,1.097,Low,1.0,Not Material,1.048,Low,1.036,Low,1.0,Not Material
283,T1098.001,Additional Cloud Credentials,5.21,Medium High,1.175,Moderate,1.35,Severe,1.32,Severe,1.266,High,1.05,Low,1.198,Moderate,1.0,Not Material,1.052,Low,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
284,T1606.002,SAML Tokens,5.21,Medium High,1.175,Moderate,1.35,Severe,1.32,Severe,1.28,High,1.0,Not Material,1.121,Moderate,1.0,Not Material,1.067,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
285,T1574.010,Services File Permissions Weakness,5.21,Medium High,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.22,High,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
286,T1564.012,File/Path Exclusions,5.21,Medium High,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
287,T1563.001,SSH Hijacking,5.21,Medium High,1.07,Low,1.28,High,1.0,Not Material,1.0,Not Material,1.25,High,1.209,Moderate,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
288,T1558.005,Ccache Files,5.21,Medium High,1.0,Not Material,1.298,High,1.064,Low,1.056,Low,1.0,Not Material,1.176,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
289,T1558.004,AS-REP Roasting,5.21,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.056,Low,1.0,Not Material,1.209,Moderate,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
290,T1555.002,Securityd Memory,5.21,Medium High,1.052,Low,1.228,High,1.0,Not Material,1.112,Moderate,1.05,Low,1.176,Moderate,1.175,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
291,T1552.008,Chat Messages,5.21,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.28,High,1.05,Low,1.055,Low,1.05,Low,1.067,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
292,T1552.003,Shell History,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
293,T1550.004,Web Session Cookie,5.21,Medium High,1.175,Moderate,1.28,High,1.272,High,1.28,High,1.125,Moderate,1.121,Moderate,1.137,Moderate,1.097,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
294,T1548.004,Elevated Execution with Prompt,5.21,Medium High,1.0,Not Material,1.35,Severe,1.064,Low,1.084,Low,1.0,Not Material,1.132,Moderate,1.05,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
295,T1547.014,Active Setup,5.21,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.198,Moderate,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
296,T1547.002,Authentication Package,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.05,Low,1.198,Moderate,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
297,T1546.013,PowerShell Profile,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.05,Low,1.22,High,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
298,T1546.009,AppCert DLLs,5.21,Medium High,1.0,Not Material,1.228,High,1.064,Low,1.0,Not Material,1.0,Not Material,1.198,Moderate,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
299,T1546.002,Screensaver,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.05,Low,1.198,Moderate,1.05,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
300,T1212,Exploitation for Credential Access,5.21,Medium High,1.123,Moderate,1.35,Severe,1.32,Severe,1.266,High,1.0,Not Material,1.209,Moderate,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
301,T1207,Rogue Domain Controller,5.21,Medium High,1.07,Low,1.28,High,1.0,Not Material,1.0,Not Material,1.238,High,1.154,Moderate,1.087,Low,1.045,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
302,T1003.008,/etc/passwd and /etc/shadow,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.137,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
303,T1671,Cloud Application Integration,5.21,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.28,High,1.0,Not Material,1.132,Moderate,1.087,Low,1.097,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
304,T1668,Exclusive Control,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.075,Low,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
305,T1612,Build Image on Host,5.21,Medium High,1.07,Low,1.0,Not Material,1.32,Severe,1.0,Not Material,1.188,Moderate,1.154,Moderate,1.0,Not Material,1.083,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
306,T1564.013,Bind Mounts,5.21,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.225,High,1.15,Moderate,1.077,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
307,T1564.007,VBA Stomping,5.21,Medium High,1.052,Low,1.0,Not Material,1.0,Not Material,1.098,Low,1.0,Not Material,1.121,Moderate,1.175,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
308,T1556.005,Reversible Encryption,5.21,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.056,Low,1.0,Not Material,1.22,High,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
309,T1553.003,SIP and Trust Provider Hijacking,5.21,Medium High,1.0,Not Material,1.0,Not Material,1.064,Low,1.0,Not Material,1.05,Low,1.176,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
310,T1548.005,Temporary Elevated Cloud Access,5.21,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.28,High,1.0,Not Material,1.165,Moderate,1.0,Not Material,1.097,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
311,T1547.007,Re-opened Applications,5.21,Medium High,1.0,Not Material,1.263,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.132,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
312,T1546.014,Emond,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.098,Low,1.0,Not Material,1.187,Moderate,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
313,T1525,Implant Internal Image,5.21,Medium High,1.175,Moderate,1.105,Low,1.32,Severe,1.0,Not Material,1.0,Not Material,1.198,Moderate,1.0,Not Material,1.06,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
314,T1053.007,Container Orchestration Job,5.21,Medium High,1.07,Low,1.105,Low,1.272,High,1.0,Not Material,1.188,Moderate,1.143,Moderate,1.0,Not Material,1.052,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
315,T1037.003,Network Logon Script,5.21,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.075,Low,1.198,Moderate,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
316,T1027.017,SVG Smuggling,5.21,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.121,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
317,T1021.008,Direct Cloud VM Connections,5.21,Medium High,1.087,Low,1.28,High,1.32,Severe,1.0,Not Material,1.075,Low,1.176,Moderate,1.0,Not Material,1.09,Low,1.022,Low,1.048,Low,1.0,Not Material,1.0,Not Material
318,T1082,System Information Discovery,5,Medium High,1.087,Low,1.0,Not Material,1.32,Severe,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.087,Low,1.135,Moderate,1.022,Low,1.32,Severe,1.036,Low,1.0,Not Material
319,T1027.013,Encrypted/Encoded File,5,Medium High,1.157,Moderate,1.123,Moderate,1.0,Not Material,1.098,Low,1.188,Moderate,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
320,T1543.003,Windows Service,5,Medium High,1.052,Low,1.105,Low,1.064,Low,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
321,T1095,Non-Application Layer Protocol,5,Medium High,1.245,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.165,Moderate,1.087,Low,1.067,Low,1.0,Not Material,1.32,Severe,1.036,Low,1.0,Not Material
322,T1218.011,Rundll32,5,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
323,T1124,System Time Discovery,5,Medium High,1.087,Low,1.28,High,1.0,Not Material,1.084,Low,1.188,Moderate,1.209,Moderate,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
324,T1018,Remote System Discovery,5,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.209,Moderate,1.225,High,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
325,T1564.003,Hidden Window,5,Medium High,1.0,Not Material,1.123,Moderate,1.064,Low,1.0,Not Material,1.05,Low,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
326,T1059.004,Unix Shell,5,Medium High,1.157,Moderate,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.238,High,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
327,T1059.006,Python,5,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
328,T1008,Fallback Channels,5,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.165,Moderate,1.087,Low,1.045,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
329,T1190,Exploit Public-Facing Application,5,Medium High,1.35,Severe,1.228,High,1.32,Severe,1.14,Moderate,1.238,High,1.209,Moderate,1.137,Moderate,1.105,Low,1.22,High,1.304,High,1.036,Low,1.0,Not Material
330,T1518,Software Discovery,5,Medium High,1.21,High,1.0,Not Material,1.32,Severe,1.084,Low,1.0,Not Material,1.209,Moderate,1.0,Not Material,1.105,Low,1.022,Low,1.304,High,1.036,Low,1.0,Not Material
331,T1102,Web Service,5,Medium High,1.157,Moderate,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.25,High,1.165,Moderate,1.087,Low,1.075,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
332,T1189,Drive-by Compromise,5,Medium High,1.35,Severe,1.35,Severe,1.32,Severe,1.28,High,1.188,Moderate,1.154,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
333,T1102.001,Dead Drop Resolver,5,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.165,Moderate,1.087,Low,1.075,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
334,T1020,Automated Exfiltration,4.63,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.121,Moderate,1.175,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
335,T1071.003,Mail Protocols,4.63,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.098,Low,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
336,T1205,Traffic Signaling,4.63,Medium High,1.157,Moderate,1.228,High,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
337,T1029,Scheduled Transfer,4.63,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.121,Moderate,1.175,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
338,T1205.001,Port Knocking,4.63,Medium High,1.157,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
339,T1092,Communication Through Removable Media,4.63,Medium High,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.22,High,1.137,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
340,T1557.004,Evil Twin,4.63,Medium High,1.157,Moderate,1.228,High,1.0,Not Material,1.14,Moderate,1.238,High,1.121,Moderate,1.225,High,1.022,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
341,T1219.001,IDE Tunneling,4.63,Medium High,1.21,High,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
342,T1071.005,Publish/Subscribe Protocols,4.63,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
