rank,attack_id,attack_vector,final_score,threat_grade,max_edge_case,max_edge_case_multiplier,edge_case_flags,Zero-Day / Unknown Exploit multiplier,Zero-Day / Unknown Exploit grade,Exploit Chain / Multi-Step multiplier,Exploit Chain / Multi-Step grade,Telemetry Gap / Evasion multiplier,Telemetry Gap / Evasion grade,Identity / MFA Bypass multiplier,Identity / MFA Bypass grade,Supply Chain / Trusted Dependency multiplier,Supply Chain / Trusted Dependency grade,Destructive / Ransomware multiplier,Destructive / Ransomware grade,Cloud / SaaS Tenant Blast Radius multiplier,Cloud / SaaS Tenant Blast Radius grade,Living-off-the-Land multiplier,Living-off-the-Land grade,AI-Scaled Social Engineering multiplier,AI-Scaled Social Engineering grade,Insider / Trusted Access multiplier,Insider / Trusted Access grade,Air-Gapped / ICS Safety multiplier,Air-Gapped / ICS Safety grade,Rare but High Impact multiplier,Rare but High Impact grade
228,T1078.003,Local Accounts,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Insider / Trusted Access; Living-off-the-Land,1.143,Moderate,1.153,Moderate,1.171,Moderate,1.2,Moderate,1.036,Low,1.0,Not Material,1.18,Moderate,1.067,Low,1.036,Low,1.14,Moderate,1.0,Not Material,1.04,Low
229,T1564.004,NTFS File Attributes,9.38,Critical,Telemetry Gap / Evasion,1.167,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land,1.121,Moderate,1.022,Low,1.167,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
230,T1078.004,Cloud Accounts,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Exploit Chain / Multi-Step; Cloud / SaaS Tenant Blast Radius; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Insider / Trusted Access; Supply Chain / Trusted Dependency; AI-Scaled Social Engineering; Living-off-the-Land,1.143,Moderate,1.18,Moderate,1.171,Moderate,1.2,Moderate,1.09,Low,1.0,Not Material,1.18,Moderate,1.067,Low,1.09,Low,1.14,Moderate,1.0,Not Material,1.04,Low
231,T1053.003,Cron,9.38,Critical,Zero-Day / Unknown Exploit,1.187,Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Insider / Trusted Access,1.187,Moderate,1.153,Moderate,1.04,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
232,T1555.004,Windows Credential Manager,9.38,Critical,Identity / MFA Bypass,1.19,Identity / MFA Bypass; Destructive / Ransomware; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Insider / Trusted Access; Telemetry Gap / Evasion; Living-off-the-Land,1.121,Moderate,1.112,Moderate,1.09,Low,1.19,Moderate,1.0,Not Material,1.165,Moderate,1.0,Not Material,1.09,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
233,T1134.002,Create Process with Token,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Living-off-the-Land,1.088,Low,1.133,Moderate,1.083,Low,1.2,Moderate,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.054,Low,1.126,Moderate,1.0,Not Material,1.04,Low
234,T1555.001,Keychain,9.38,Critical,Identity / MFA Bypass,1.15,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius,1.088,Low,1.148,Moderate,1.054,Low,1.15,Moderate,1.054,Low,1.0,Not Material,1.063,Low,1.052,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
235,T1080,Taint Shared Content,9.38,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Identity / MFA Bypass,1.121,Moderate,1.112,Moderate,1.09,Low,1.06,Low,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.038,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
236,T1555.005,Password Managers,9.38,Critical,Zero-Day / Unknown Exploit,1.198,Zero-Day / Unknown Exploit; Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Destructive / Ransomware; Telemetry Gap / Evasion,1.198,Moderate,1.112,Moderate,1.086,Low,1.15,Moderate,1.054,Low,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
237,T1070.003,Clear Command History,9.38,Critical,Telemetry Gap / Evasion,1.151,Telemetry Gap / Evasion; Living-off-the-Land; Zero-Day / Unknown Exploit; Insider / Trusted Access; Identity / MFA Bypass; Exploit Chain / Multi-Step,1.121,Moderate,1.067,Low,1.151,Moderate,1.08,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.091,Low,1.0,Not Material,1.0,Not Material
238,T1021.005,VNC,9.38,Critical,Zero-Day / Unknown Exploit,1.198,Zero-Day / Unknown Exploit; Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access,1.198,Moderate,1.139,Moderate,1.034,Low,1.18,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
239,T1690,Prevent Command History Logging,9.38,Critical,Telemetry Gap / Evasion,1.176,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land; Identity / MFA Bypass; Exploit Chain / Multi-Step,1.121,Moderate,1.067,Low,1.176,Moderate,1.08,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.105,Low,1.0,Not Material,1.056,Low,1.0,Not Material,1.0,Not Material
240,T1574.006,Dynamic Linker Hijacking,9.38,Critical,Zero-Day / Unknown Exploit,1.209,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Living-off-the-Land; Insider / Trusted Access; Air-Gapped / ICS Safety,1.209,Moderate,1.16,Moderate,1.18,Moderate,1.04,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.091,Low,1.07,Low,1.0,Not Material
241,T1552.002,Credentials in Registry,9.38,Critical,Identity / MFA Bypass,1.15,Identity / MFA Bypass; Exploit Chain / Multi-Step; Living-off-the-Land; Zero-Day / Unknown Exploit; Rare but High Impact; Insider / Trusted Access,1.088,Low,1.112,Moderate,1.054,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.105,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.08,Low
242,T1027.004,Compile After Delivery,9.38,Critical,Telemetry Gap / Evasion,1.13,Telemetry Gap / Evasion; Living-off-the-Land; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.13,Moderate,1.0,Not Material,1.036,Low,1.099,Low,1.0,Not Material,1.12,Moderate,1.054,Low,1.035,Low,1.0,Not Material,1.04,Low
243,T1558.003,Kerberoasting,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Destructive / Ransomware; Zero-Day / Unknown Exploit; Rare but High Impact; Telemetry Gap / Evasion; Cloud / SaaS Tenant Blast Radius,1.088,Low,1.175,Moderate,1.07,Low,1.2,Moderate,1.0,Not Material,1.099,Low,1.063,Low,1.052,Low,1.0,Not Material,1.14,Moderate,1.0,Not Material,1.08,Low
244,T1542.003,Bootkit,9.38,Critical,Telemetry Gap / Evasion,1.104,Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Identity / MFA Bypass; Insider / Trusted Access; Air-Gapped / ICS Safety,1.044,Low,1.088,Low,1.104,Low,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.03,Low,1.0,Not Material,1.07,Low,1.07,Low,1.0,Not Material
245,T1036.001,Invalid Code Signature,9.38,Critical,Telemetry Gap / Evasion,1.18,Telemetry Gap / Evasion; Living-off-the-Land; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.18,Moderate,1.04,Low,1.117,Moderate,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
246,T1003.005,Cached Domain Credentials,9.38,Critical,Identity / MFA Bypass,1.19,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit,1.088,Low,1.112,Moderate,1.054,Low,1.19,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
247,T1679,Selective Exclusion,9.38,Critical,Telemetry Gap / Evasion,1.157,Telemetry Gap / Evasion; Destructive / Ransomware; Zero-Day / Unknown Exploit; Living-off-the-Land,1.088,Low,1.022,Low,1.157,Moderate,1.0,Not Material,1.036,Low,1.099,Low,1.0,Not Material,1.083,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
248,T1547.013,XDG Autostart Entries,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Living-off-the-Land; Zero-Day / Unknown Exploit; Air-Gapped / ICS Safety; Telemetry Gap / Evasion,1.088,Low,1.133,Moderate,1.065,Low,1.2,Moderate,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.126,Moderate,1.07,Low,1.04,Low
249,T1553.001,Gatekeeper Bypass,9.38,Critical,Telemetry Gap / Evasion,1.171,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Insider / Trusted Access; Supply Chain / Trusted Dependency; Cloud / SaaS Tenant Blast Radius,1.165,Moderate,1.022,Low,1.171,Moderate,1.0,Not Material,1.081,Low,1.0,Not Material,1.063,Low,1.052,Low,1.0,Not Material,1.091,Low,1.0,Not Material,1.0,Not Material
250,T1098.004,SSH Authorized Keys,9.38,Critical,Identity / MFA Bypass,1.19,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Exploit Chain / Multi-Step; Insider / Trusted Access; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit,1.088,Low,1.133,Moderate,1.04,Low,1.19,Moderate,1.117,Moderate,1.0,Not Material,1.18,Moderate,1.135,Moderate,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
251,T1078.001,Default Accounts,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Cloud / SaaS Tenant Blast Radius; Insider / Trusted Access; Rare but High Impact; Living-off-the-Land,1.187,Moderate,1.18,Moderate,1.18,Moderate,1.2,Moderate,1.036,Low,1.0,Not Material,1.18,Moderate,1.067,Low,1.036,Low,1.14,Moderate,1.0,Not Material,1.08,Low
252,T1558.001,Golden Ticket,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.112,Moderate,1.04,Low,1.2,Moderate,1.0,Not Material,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.14,Moderate,1.0,Not Material,1.04,Low
253,T1552.005,Cloud Instance Metadata API,9.38,Critical,Zero-Day / Unknown Exploit,1.22,Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Insider / Trusted Access,1.22,High,1.139,Moderate,1.09,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.0,Not Material,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
254,T1550.001,Application Access Token,9.38,Critical,Identity / MFA Bypass,1.18,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Insider / Trusted Access; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Rare but High Impact,1.044,Low,1.112,Moderate,1.095,Low,1.18,Moderate,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.038,Low,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.08,Low
255,T1134.003,Make and Impersonate Token,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land,1.088,Low,1.133,Moderate,1.108,Low,1.2,Moderate,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.054,Low,1.126,Moderate,1.0,Not Material,1.04,Low
256,T1110.002,Password Cracking,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit; Rare but High Impact,1.088,Low,1.148,Moderate,1.029,Low,1.2,Moderate,1.054,Low,1.0,Not Material,1.18,Moderate,1.052,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.08,Low
257,T1003.006,DCSync,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit,1.088,Low,1.112,Moderate,1.054,Low,1.2,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.038,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
258,T1558.002,Silver Ticket,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit,1.088,Low,1.112,Moderate,1.04,Low,1.2,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.14,Moderate,1.0,Not Material,1.04,Low
259,T1556.002,Password Filter DLL,9.38,Critical,Identity / MFA Bypass,1.19,Identity / MFA Bypass; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Living-off-the-Land; Insider / Trusted Access; Zero-Day / Unknown Exploit,1.088,Low,1.153,Moderate,1.157,Moderate,1.19,Moderate,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
260,T1548.003,Sudo and Sudo Caching,9.38,Critical,Identity / MFA Bypass,1.15,Identity / MFA Bypass; Insider / Trusted Access; Living-off-the-Land; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius,1.088,Low,1.112,Moderate,1.097,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.063,Low,1.12,Moderate,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
261,T1027.012,LNK Icon Smuggling,9.38,Critical,Living-off-the-Land,1.135,Living-off-the-Land; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit,1.088,Low,1.049,Low,1.13,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.135,Moderate,1.054,Low,1.035,Low,1.0,Not Material,1.0,Not Material
262,T1621,Multi-Factor Authentication Request Generation,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Insider / Trusted Access; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit,1.088,Low,1.139,Moderate,1.04,Low,1.2,Moderate,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.0,Not Material,1.0,Not Material,1.14,Moderate,1.0,Not Material,1.04,Low
263,T1556.004,Network Device Authentication,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Insider / Trusted Access; Supply Chain / Trusted Dependency; Living-off-the-Land; Cloud / SaaS Tenant Blast Radius,1.044,Low,1.153,Moderate,1.176,Moderate,1.2,Moderate,1.09,Low,1.0,Not Material,1.063,Low,1.067,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
264,T1547.015,Login Items,9.38,Critical,Identity / MFA Bypass,1.15,Identity / MFA Bypass; Exploit Chain / Multi-Step; Living-off-the-Land; Insider / Trusted Access; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit,1.088,Low,1.133,Moderate,1.097,Low,1.15,Moderate,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
265,T1547.005,Security Support Provider,9.38,Critical,Identity / MFA Bypass,1.15,Identity / MFA Bypass; Living-off-the-Land; Exploit Chain / Multi-Step; Destructive / Ransomware; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion,1.088,Low,1.133,Moderate,1.076,Low,1.15,Moderate,1.09,Low,1.099,Low,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
266,T1136.003,Cloud Account,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Exploit Chain / Multi-Step; Insider / Trusted Access,1.044,Low,1.112,Moderate,1.05,Low,1.2,Moderate,1.036,Low,1.0,Not Material,1.18,Moderate,1.03,Low,1.054,Low,1.105,Low,1.0,Not Material,1.0,Not Material
267,T1098.002,Additional Email Delegate Permissions,9.38,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Exploit Chain / Multi-Step; Identity / MFA Bypass; Zero-Day / Unknown Exploit; Insider / Trusted Access,1.088,Low,1.133,Moderate,1.04,Low,1.13,Moderate,1.036,Low,1.0,Not Material,1.18,Moderate,1.15,Moderate,1.054,Low,1.07,Low,1.0,Not Material,1.04,Low
268,T1055.013,Process Doppelgänging,9.38,Critical,Zero-Day / Unknown Exploit,1.143,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass,1.143,Moderate,1.133,Moderate,1.14,Moderate,1.07,Low,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
269,T1027.006,HTML Smuggling,9.38,Critical,Telemetry Gap / Evasion,1.151,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land,1.143,Moderate,1.103,Low,1.151,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.083,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
270,T1021.007,Cloud Services,9.38,Critical,Identity / MFA Bypass,1.18,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Exploit Chain / Multi-Step; Insider / Trusted Access; Living-off-the-Land,1.044,Low,1.139,Moderate,1.04,Low,1.18,Moderate,1.0,Not Material,1.0,Not Material,1.18,Moderate,1.105,Low,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
271,T1003.007,Proc Filesystem,9.38,Critical,Identity / MFA Bypass,1.15,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit,1.088,Low,1.112,Moderate,1.05,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
272,T1685.002,Disable or Modify Cloud Log,9.38,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Telemetry Gap / Evasion; Identity / MFA Bypass; Destructive / Ransomware,1.044,Low,1.022,Low,1.171,Moderate,1.1,Low,1.0,Not Material,1.099,Low,1.18,Moderate,1.038,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
273,T1647,Plist File Modification,9.38,Critical,Telemetry Gap / Evasion,1.157,Telemetry Gap / Evasion; Living-off-the-Land; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.105,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
274,T1564.009,Resource Forking,9.38,Critical,Telemetry Gap / Evasion,1.18,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Destructive / Ransomware; Supply Chain / Trusted Dependency; Living-off-the-Land,1.143,Moderate,1.103,Low,1.18,Moderate,1.0,Not Material,1.09,Low,1.099,Low,1.0,Not Material,1.083,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
275,T1556.009,Conditional Access Policies,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit,1.088,Low,1.153,Moderate,1.157,Moderate,1.2,Moderate,1.036,Low,1.0,Not Material,1.18,Moderate,1.03,Low,1.0,Not Material,1.14,Moderate,1.0,Not Material,1.04,Low
276,T1556.003,Pluggable Authentication Modules,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Insider / Trusted Access; Living-off-the-Land; Zero-Day / Unknown Exploit,1.088,Low,1.153,Moderate,1.18,Moderate,1.2,Moderate,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.14,Moderate,1.0,Not Material,1.04,Low
277,T1546.001,Change Default File Association,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Living-off-the-Land; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit,1.088,Low,1.133,Moderate,1.04,Low,1.2,Moderate,1.036,Low,1.0,Not Material,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
278,T1542.002,Component Firmware,9.38,Critical,Exploit Chain / Multi-Step,1.16,Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Identity / MFA Bypass; Supply Chain / Trusted Dependency; Air-Gapped / ICS Safety,1.121,Moderate,1.16,Moderate,1.113,Moderate,1.11,Moderate,1.09,Low,1.0,Not Material,1.0,Not Material,1.03,Low,1.0,Not Material,1.035,Low,1.07,Low,1.0,Not Material
279,T1505.006,vSphere Installation Bundles,9.38,Critical,Supply Chain / Trusted Dependency,1.171,Supply Chain / Trusted Dependency; Living-off-the-Land; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Identity / MFA Bypass; Insider / Trusted Access,1.044,Low,1.112,Moderate,1.076,Low,1.07,Low,1.171,Moderate,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
280,T1211,Exploitation for Stealth,9.38,Critical,Zero-Day / Unknown Exploit,1.22,Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius; Telemetry Gap / Evasion; Living-off-the-Land; Identity / MFA Bypass,1.22,High,1.058,Low,1.13,Moderate,1.1,Low,1.036,Low,1.0,Not Material,1.18,Moderate,1.12,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
281,T1134.005,SID-History Injection,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Insider / Trusted Access; Cloud / SaaS Tenant Blast Radius,1.143,Moderate,1.16,Moderate,1.094,Low,1.2,Moderate,1.036,Low,1.0,Not Material,1.063,Low,1.12,Moderate,1.054,Low,1.07,Low,1.0,Not Material,1.04,Low
282,T1098.005,Device Registration,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit,1.088,Low,1.133,Moderate,1.04,Low,1.2,Moderate,1.036,Low,1.0,Not Material,1.18,Moderate,1.03,Low,1.054,Low,1.105,Low,1.0,Not Material,1.04,Low
283,T1098.001,Additional Cloud Credentials,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Exploit Chain / Multi-Step; Living-off-the-Land; Insider / Trusted Access; Telemetry Gap / Evasion,1.044,Low,1.133,Moderate,1.09,Low,1.2,Moderate,1.036,Low,1.0,Not Material,1.18,Moderate,1.12,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
284,T1606.002,SAML Tokens,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Insider / Trusted Access; Exploit Chain / Multi-Step; Telemetry Gap / Evasion,1.044,Low,1.112,Moderate,1.065,Low,1.2,Moderate,1.054,Low,1.0,Not Material,1.18,Moderate,1.038,Low,1.0,Not Material,1.14,Moderate,1.0,Not Material,1.04,Low
285,T1574.010,Services File Permissions Weakness,9.38,Critical,Zero-Day / Unknown Exploit,1.22,Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Living-off-the-Land; Supply Chain / Trusted Dependency,1.22,High,1.16,Moderate,1.124,Moderate,1.0,Not Material,1.117,Moderate,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
286,T1564.012,File/Path Exclusions,9.38,Critical,Telemetry Gap / Evasion,1.18,Telemetry Gap / Evasion; Living-off-the-Land; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.18,Moderate,1.0,Not Material,1.036,Low,1.0,Not Material,1.0,Not Material,1.12,Moderate,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
287,T1563.001,SSH Hijacking,9.38,Critical,Identity / MFA Bypass,1.18,Identity / MFA Bypass; Living-off-the-Land; Exploit Chain / Multi-Step; Destructive / Ransomware; Insider / Trusted Access; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion,1.088,Low,1.139,Moderate,1.07,Low,1.18,Moderate,1.054,Low,1.099,Low,1.0,Not Material,1.142,Moderate,1.0,Not Material,1.091,Low,1.0,Not Material,1.04,Low
288,T1558.005,Ccache Files,9.38,Critical,Identity / MFA Bypass,1.19,Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Living-off-the-Land; Zero-Day / Unknown Exploit,1.088,Low,1.112,Moderate,1.095,Low,1.19,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.09,Low,1.054,Low,1.14,Moderate,1.0,Not Material,1.04,Low
289,T1558.004,AS-REP Roasting,9.38,Critical,Identity / MFA Bypass,1.2,Identity / MFA Bypass; Telemetry Gap / Evasion; Living-off-the-Land; Insider / Trusted Access; Exploit Chain / Multi-Step; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.139,Moderate,1.158,Moderate,1.2,Moderate,1.0,Not Material,1.099,Low,1.0,Not Material,1.142,Moderate,1.0,Not Material,1.14,Moderate,1.0,Not Material,1.04,Low
290,T1555.002,Securityd Memory,9.38,Critical,Identity / MFA Bypass,1.15,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.112,Moderate,1.034,Low,1.15,Moderate,1.054,Low,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.04,Low
