rank,attack_id,attack_vector,is_subtechnique,parent_id,domains,platforms,tactics,severity_label,groups_count,software_count,total_usage,impact_score,asset_criticality,asset_criticality_reason,exploit_likelihood,exploit_likelihood_reason,detection_confidence,confident_score,bft_vote_proxy,raw_product_score,score_0_10,max_surface,max_surface_multiplier,surface_multiplier_grade,max_edge_case,max_edge_case_multiplier,edge_case_multiplier_grade,edge_case_flags,final_score,threat_grade,recommended_action,auto_containment_allowed,primary_surfaces,related_capec_count,related_capec_ids,related_cwe_count,related_cwe_ids,data_sources,mitigation_ids,mitigations,description
70,T1685,Disable or Modify Tools,False,,enterprise; cloud,Containers; ESXi; IaaS; Linux; macOS; Network Devices; Windows,Defense Impairment,Critical,32,87,119,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Cloud Control Plane,1.32,Severe,Cloud / SaaS Tenant Blast Radius,1.18,Moderate,Cloud / SaaS Tenant Blast Radius; Telemetry Gap / Evasion; Living-off-the-Land; Zero-Day / Unknown Exploit; Supply Chain / Trusted Dependency,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Cloud Control Plane; ESXi / Hypervisor; Containers / Kubernetes; Network / Perimeter; Server / Workload,0,,0,,Command; Process; Windows Registry; Service; Sensor Health; Cloud Service,M1018; M1047; M1022; M1042; M1054; M1038; M1024,User Account Management; Audit; Restrict File and Directory Permissions; Disable or Remove Feature or Program; Software Configuration; Execution Prevention; Restrict Registry Permissions,"Adversaries may disable, degrade, or tamper with security tools or applications (e.g., endpoint detection and response (EDR) tools, intrusion detection systems (IDS), antivirus, logging agents, sensors, etc.) to impair or reduce visibility of defensive capabilities. This may include stopping specific services, killing processes, modifying or deleting tool configuration files and Registry keys, or preventing tools from updating. This may also include impairing defenses more broadly by disrupting..."
71,T1574.001,DLL,True,T1574,enterprise,Windows,Stealth; Execution,Critical,35,75,110,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Data / Storage,1.225,High,Telemetry Gap / Evasion,1.178,Moderate,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land; Destructive / Ransomware; Supply Chain / Trusted Dependency; Exploit Chain / Multi-Step,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Server / Workload; Endpoint / User,1,CAPEC-471,1,CWE-427,Process; Windows Registry; Module; File,M1038; M1044; M1051; M1047; M1013,Execution Prevention; Restrict Library Loading; Update Software; Audit; Application Developer Guidance,"Adversaries may abuse dynamic-link library files (DLLs) in order to achieve persistence, escalate privileges, and evade defenses. DLLs are libraries that contain code and data that can be simultaneously utilized by multiple programs. While DLLs are not malicious by nature, they can be abused through mechanisms such as side-loading, hijacking search order, and phantom DLL hijacking. Specific ways DLLs are abused by adversaries include: ### DLL Sideloading Adversaries may execute their own malici..."
72,T1003.001,LSASS Memory,True,T1003,enterprise,Windows,Credential Access,Critical,44,26,70,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Identity / IAM,1.35,Severe,Identity / MFA Bypass,1.2,Moderate,Identity / MFA Bypass; Zero-Day / Unknown Exploit; Living-off-the-Land; Exploit Chain / Multi-Step; Insider / Trusted Access; Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; Server / Workload; Data / Storage; SaaS / Office / Email; Endpoint / User,0,,0,,Process; User Account; Windows Registry; File,M1028; M1043; M1025; M1026; M1017; M1040; M1027,Operating System Configuration; Credential Access Protection; Privileged Process Integrity; Privileged Account Management; User Training; Behavior Prevention on Endpoint; Password Policies,"Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS). After a user logs on, the system generates and stores a variety of credential materials in LSASS process memory. These credential materials can be harvested by an administrative user or SYSTEM and used to conduct Lateral Movement using Use Alternate Authentication Material. As well as in-memory techniques, the LSASS process memory can be dumped from the t..."
73,T1548.002,Bypass User Account Control,True,T1548,enterprise,Windows,Privilege Escalation,Critical,11,51,62,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Identity / IAM,1.35,Severe,Identity / MFA Bypass,1.2,Moderate,Identity / MFA Bypass; Living-off-the-Land; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Rare but High Impact,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; Server / Workload; Endpoint / User,0,,0,,Process; Windows Registry; Module; Logon Session,M1051; M1047; M1052; M1026,Update Software; Audit; User Account Control; Privileged Account Management,"Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click th..."
74,T1505.003,Web Shell,True,T1505,enterprise,Linux; macOS; Network Devices; Windows,Persistence,Critical,31,22,53,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Identity / IAM,1.35,Severe,Identity / MFA Bypass,1.2,Moderate,Identity / MFA Bypass; Living-off-the-Land; Insider / Trusted Access; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; Public Internet / Edge; Server / Workload; Network / Perimeter; Endpoint / User,1,CAPEC-650,2,CWE-287; CWE-553,Network Traffic; Process; File; Logon Session,M1042; M1018,Disable or Remove Feature or Program; User Account Management,"Adversaries may backdoor web servers with web shells to establish persistent access to systems. A Web shell is a Web script that is placed on an openly accessible Web server to allow an adversary to access the Web server as a gateway into a network. A Web shell may provide a set of functions to execute or a command-line interface on the system that hosts the Web server. In addition to a server-side script, a Web shell may have a client interface program that is used to talk to the Web server (e..."
75,T1036,Masquerading,False,,enterprise; cloud,Containers; ESXi; Linux; macOS; Windows,Stealth,Critical,20,33,53,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,ESXi / Hypervisor,1.304,High,Cloud / SaaS Tenant Blast Radius,1.144,Moderate,Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Telemetry Gap / Evasion; Supply Chain / Trusted Dependency; Zero-Day / Unknown Exploit,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Cloud Control Plane; Data / Storage; Containers / Kubernetes; Server / Workload,1,CAPEC-177,1,CWE-706,Command; Process; File; Service; Image,M1047; M1018; M1017; M1045; M1040; M1022; M1049; M1038,Audit; User Account Management; User Training; Code Signing; Behavior Prevention on Endpoint; Restrict File and Directory Permissions; Antivirus/Antimalware; Execution Prevention,"Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools. Masquerading occurs when the name or location of an object, legitimate or malicious, is manipulated or abused for the sake of evading defenses and observation. This may include manipulating file metadata, tricking users into misidentifying the file type, and giving legitimate task or service names. Renaming abusable system utilities to evade security monitor..."
76,T1480,Execution Guardrails,False,,enterprise,ESXi; Linux; macOS; Windows,Stealth,Critical,4,42,46,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.198,Moderate,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Identity / MFA Bypass; Living-off-the-Land; Supply Chain / Trusted Dependency; Insider / Trusted Access; Exploit Chain / Multi-Step; Cloud / SaaS Tenant Blast Radius,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Identity / IAM; Data / Storage; Server / Workload; Network / Perimeter,0,,0,,Command; Process; Network Traffic; Windows Registry; WMI; Module; File; Logon Session; User Account,M1055,Do Not Mitigate,"Adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target. Guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary’s campaign. Values an adversary can provide about a target system or environment to use as guardrails may include specific network share names, attached physical devices, files, joined Active..."
77,T1068,Exploitation for Privilege Escalation,False,,enterprise; cloud,Containers; Linux; macOS; Windows,Privilege Escalation,Critical,22,19,41,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Cloud Control Plane,1.272,High,Zero-Day / Unknown Exploit,1.22,High,Zero-Day / Unknown Exploit; Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Exploit Chain / Multi-Step; Insider / Trusted Access; Living-off-the-Land; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Cloud Control Plane; Identity / IAM; Server / Workload; Containers / Kubernetes; Endpoint / User,0,,0,,Process; Container; Module; Driver; Logon Session,M1051; M1050; M1048; M1019; M1038,Update Software; Exploit Protection; Application Isolation and Sandboxing; Threat Intelligence Program; Execution Prevention,"Adversaries may exploit software vulnerabilities in an attempt to elevate privileges. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. Security constructs such as permission levels will often hinder access to information and use of certain techniques, so adversaries will likely need to perform privilege escalation to includ..."
78,T1552.001,Credentials In Files,True,T1552,enterprise; cloud,Containers; IaaS; Linux; macOS; Windows,Credential Access,Critical,14,20,34,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Identity / IAM,1.35,Severe,Identity / MFA Bypass,1.2,Moderate,Identity / MFA Bypass; Cloud / SaaS Tenant Blast Radius; Exploit Chain / Multi-Step; Insider / Trusted Access; Zero-Day / Unknown Exploit; Rare but High Impact; Destructive / Ransomware,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; Cloud Control Plane; Data / Storage; Containers / Kubernetes; Server / Workload,2,CAPEC-191; CAPEC-639,2,CWE-552; CWE-798,Command; Process; Network Traffic; File; Logon Session,M1017; M1047; M1022; M1027,User Training; Audit; Restrict File and Directory Permissions; Password Policies,"Adversaries may search local file systems and remote file shares for files containing insecurely stored credentials. These can be files created by users to store their own credentials, shared credential stores for a group of individuals, configuration files containing passwords for a system or service, or source code/binary files containing embedded passwords. It is possible to extract passwords from backups or saved virtual machines through OS Credential Dumping. Passwords may also be obtained..."
79,T1133,External Remote Services,False,,enterprise; cloud,Containers; Linux; macOS; Windows,Persistence; Initial Access,Critical,28,5,33,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Public Internet / Edge,1.35,Severe,Identity / MFA Bypass,1.2,Moderate,Identity / MFA Bypass; Exploit Chain / Multi-Step; Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Insider / Trusted Access; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Public Internet / Edge; Identity / IAM; Cloud Control Plane; Network / Perimeter; Containers / Kubernetes,1,CAPEC-555,7,CWE-262; CWE-263; CWE-294; CWE-308; CWE-309; CWE-521; CWE-522,Network Traffic; Logon Session; User Account; Application Log,M1021; M1030; M1042; M1035; M1032,Restrict Web-Based Content; Network Segmentation; Disable or Remove Feature or Program; Limit Access to Resource Over Network; Multi-factor Authentication,"Adversaries may leverage external-facing remote services to initially access and/or persist within a network. Remote services such as VPNs, Citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations. There are often remote service gateways that manage connections and credential authentication for these services. Services such as Windows Remote Management and VNC can also be used externally. Access to Valid Accounts to use the serv..."
80,T1136.001,Local Account,True,T1136,enterprise; cloud,Containers; ESXi; Linux; macOS; Network Devices; Windows,Persistence,Critical,14,15,29,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Identity / IAM,1.35,Severe,Identity / MFA Bypass,1.2,Moderate,Identity / MFA Bypass; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Exploit Chain / Multi-Step; Insider / Trusted Access,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; ESXi / Hypervisor; Cloud Control Plane; Network / Perimeter; Server / Workload,0,,0,,Command; Process; File; User Account,M1032; M1026,Multi-factor Authentication; Privileged Account Management,"Adversaries may create a local account to maintain access to victim systems. Local accounts are those configured by an organization for use by users, remote support, services, or for administration on a single system or service. For example, with a sufficient level of access, the Windows <code>net user /add</code> command can be used to create a local account. In Linux, the `useradd` command can be used, while on macOS systems, the <code>dscl -create</code> command can be used. Local accounts m..."
81,T1539,Steal Web Session Cookie,False,,enterprise; cloud,Linux; macOS; Office Suite; SaaS; Windows,Credential Access,Critical,8,19,27,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Identity / IAM,1.35,Severe,Identity / MFA Bypass,1.2,Moderate,Identity / MFA Bypass; Exploit Chain / Multi-Step; Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Insider / Trusted Access; Destructive / Ransomware; Rare but High Impact; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; Public Internet / Edge; SaaS / Office / Email; Cloud Control Plane; Server / Workload,2,CAPEC-21; CAPEC-31,10,CWE-113; CWE-20; CWE-290; CWE-302; CWE-311; CWE-315; CWE-346; CWE-384; CWE-472; CWE-539,Process; File; Logon Session; User Account; Application Log,M1047; M1054; M1021; M1032; M1051; M1017,Audit; Software Configuration; Restrict Web-Based Content; Multi-factor Authentication; Update Software; User Training,"An adversary may steal web application or service session cookies and use them to gain access to web applications or Internet services as an authenticated user without needing credentials. Web applications and services often use session cookies as an authentication token after a user has authenticated to a website. Cookies are often valid for an extended period of time, even if the web application is not actively used. Cookies can be found on disk, in the process memory of the browser, and in n..."
82,T1040,Network Sniffing,False,,enterprise; cloud,IaaS; Linux; macOS; Network Devices; Windows,Credential Access; Discovery,Critical,8,17,25,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Identity / IAM,1.35,Severe,Identity / MFA Bypass,1.2,Moderate,Identity / MFA Bypass; Exploit Chain / Multi-Step; Cloud / SaaS Tenant Blast Radius; Destructive / Ransomware; Insider / Trusted Access; Zero-Day / Unknown Exploit; Rare but High Impact; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; Cloud Control Plane; Network / Perimeter; SaaS / Office / Email; Server / Workload,3,CAPEC-158; CAPEC-57; CAPEC-65,6,CWE-287; CWE-300; CWE-311; CWE-318; CWE-319; CWE-693,Command; Network Traffic; Process; Service; User Account; Cloud Service,M1018; M1032; M1041; M1030,User Account Management; Multi-factor Authentication; Encrypt Sensitive Information; Network Segmentation,"Adversaries may passively sniff network traffic to capture information about an environment, including authentication material passed over the network. Network sniffing refers to using the network interface on a system to monitor or capture information sent over a wired or wireless connection. An adversary may place a network interface into promiscuous mode to passively access data in transit over the network, or use span ports to capture a larger amount of data. Data captured via this techniqu..."
83,T1210,Exploitation of Remote Services,False,,enterprise,Linux; Windows; macOS; ESXi,Lateral Movement,Critical,11,13,24,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,ESXi / Hypervisor,1.32,Severe,Zero-Day / Unknown Exploit,1.22,High,Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Insider / Trusted Access,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Public Internet / Edge; Server / Workload; Endpoint / User,0,,0,,Process; Network Traffic; Module; File; Application Log,M1042; M1016; M1050; M1030; M1019; M1048; M1026; M1051,Disable or Remove Feature or Program; Vulnerability Scanning; Exploit Protection; Network Segmentation; Threat Intelligence Program; Application Isolation and Sandboxing; Privileged Account Management; Update Software,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system. An adversary may need to determine..."
84,T1078.002,Domain Accounts,True,T1078,enterprise,ESXi; Linux; macOS; Windows,Stealth; Persistence; Privilege Escalation; Initial Access,Critical,19,5,24,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,Identity / IAM,1.35,Severe,Identity / MFA Bypass,1.2,Moderate,Identity / MFA Bypass; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Telemetry Gap / Evasion; Insider / Trusted Access; Living-off-the-Land; Cloud / SaaS Tenant Blast Radius,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; ESXi / Hypervisor; Server / Workload; Public Internet / Edge; Network / Perimeter,0,,0,,Logon Session; Process; Network Traffic; User Account,M1018; M1032; M1026; M1017; M1027,User Account Management; Multi-factor Authentication; Privileged Account Management; User Training; Password Policies,"Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain. Domain accounts can cover users, administrators, and services. Adversaries may compromise domain accounts, some with a high level of privileges, through various means su..."
85,T1021.004,SSH,True,T1021,enterprise,ESXi; Linux; macOS,Lateral Movement,Critical,19,5,24,3,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,16.2,10,ESXi / Hypervisor,1.304,High,Identity / MFA Bypass,1.18,Moderate,Identity / MFA Bypass; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Living-off-the-Land; Insider / Trusted Access; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Identity / IAM; Network / Perimeter; Server / Workload; Endpoint / User,0,,0,,Command; Network Traffic; Process; Logon Session,M1042; M1032; M1018,Disable or Remove Feature or Program; Multi-factor Authentication; User Account Management,"Adversaries may use Valid Accounts to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the logged-on user. SSH is a protocol that allows authorized users to open remote shells on other computers. Many Linux and macOS versions come with SSH installed by default, although typically disabled until the user enables it. On ESXi, SSH can be enabled either directly on the host (e.g., via `vim-cmd hostsvc/enable_ssh`) or via vCenter. The SSH server can be con..."
86,T1123,Audio Capture,False,,enterprise,Linux; macOS; Windows,Collection,Critical,2,30,32,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,15.0,10,Data / Storage,1.25,High,Zero-Day / Unknown Exploit,1.088,Low,Zero-Day / Unknown Exploit; Insider / Trusted Access; Exploit Chain / Multi-Step,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Server / Workload; Endpoint / User,1,CAPEC-634,1,CWE-267,Process; File,,,"An adversary can leverage a computer's peripheral devices (e.g., microphones and webcams) or applications (e.g., voice and video call services) to capture audio recordings for the purpose of listening into sensitive conversations to gather information. Malware or scripts may be used to interact with the devices through an available API provided by the operating system or an application to capture audio. Audio files may be written to disk and exfiltrated later."
87,T1071.002,File Transfer Protocols,True,T1071,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Command and Control,Critical,5,20,25,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,15.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Public Internet / Edge; Data / Storage,0,,0,,Command; Network Traffic; Process,M1037; M1031,Filter Network Traffic; Network Intrusion Prevention,"Adversaries may communicate using application layer protocols associated with transferring files to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. Protocols such as SMB, FTP, FTPS, and TFTP that transfer files may be very common in environments. Packets produced from these protocols may have many fields and headers in which..."
88,T1568.002,Domain Generation Algorithms,True,T1568,enterprise,ESXi; Linux; macOS; Windows,Command and Control,Critical,2,22,24,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,15.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Living-off-the-Land,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Endpoint / User; ICS / OT,0,,0,,Process; Network Traffic,M1031; M1021,Network Intrusion Prevention; Restrict Web-Based Content,"Adversaries may make use of Domain Generation Algorithms (DGAs) to dynamically identify a destination domain for command and control traffic rather than relying on a list of static IP addresses or domains. This has the advantage of making it much harder for defenders to block, track, or take over the command and control channel, as there potentially could be thousands of domains that malware can check for instructions. DGAs can take the form of apparently random or “gibberish” strings (ex: istg..."
89,T1025,Data from Removable Media,False,,enterprise,Linux; macOS; Windows,Collection,Critical,4,20,24,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,15.0,10,Data / Storage,1.25,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Destructive / Ransomware; Living-off-the-Land; Insider / Trusted Access; Air-Gapped / ICS Safety,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Server / Workload; Endpoint / User,0,,0,,Drive; Process; File,M1057,Data Loss Prevention,"Adversaries may search connected removable media on computers they have compromised to find files of interest. Sensitive data can be collected from any removable media (optical disk drive, USB memory, etc.) connected to the compromised system prior to Exfiltration. Interactive command shells may be in use, and common functionality within cmd may be used to gather information. Some adversaries may also use Automated Collection on removable media."
90,T1090.002,External Proxy,True,T1090,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Command and Control,Critical,11,11,22,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,15.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Cloud / SaaS Tenant Blast Radius,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Public Internet / Edge; Server / Workload; ICS / OT,0,,0,,Network Traffic; Process; Firewall,M1031,Network Intrusion Prevention,"Adversaries may use an external proxy to act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirection, including HTRAN, ZXProxy, and ZXPortMap. Adversaries use these types of proxies to manage command and control communications, to provide resiliency in the face of connection loss, or to ride over existing trusted communications paths to..."
91,T1114.001,Local Email Collection,True,T1114,enterprise,Windows,Collection,High,8,11,19,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,15.0,10,Data / Storage,1.25,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Insider / Trusted Access,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Network / Perimeter; SaaS / Office / Email; Identity / IAM; Server / Workload,0,,0,,Process; File; Network Traffic,M1060; M1041,Out-of-Band Communications Channel; Encrypt Sensitive Information,"Adversaries may target user email on local systems to collect sensitive information. Files containing email data can be acquired from a user’s local system, such as Outlook storage or cache files. Outlook stores data locally in offline data files with an extension of .ost. Outlook 2010 and later supports .ost file sizes up to 50GB, while earlier versions of Outlook support up to 20GB. IMAP accounts in Outlook 2013 (and earlier) and POP accounts use Outlook Data Files (.pst) as opposed to .ost,..."
92,T1568,Dynamic Resolution,False,,enterprise,ESXi; Linux; macOS; Windows,Command and Control,High,8,10,18,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,15.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Endpoint / User; ICS / OT,0,,0,,Process; Network Traffic,M1031; M1021,Network Intrusion Prevention; Restrict Web-Based Content,"Adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations. This may be achieved by using malware that shares a common algorithm with the infrastructure the adversary uses to receive the malware's communications. These calculations can be used to dynamically adjust parameters such as the domain name, IP address, or port number the malware uses for command and control. Adversaries may use dynamic resolution for the purpose..."
93,T1001.001,Junk Data,True,T1001,enterprise,ESXi; Linux; macOS; Windows,Command and Control,High,1,17,18,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,15.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Endpoint / User,0,,0,,Process; Network Traffic,M1031,Network Intrusion Prevention,"Adversaries may add junk data to protocols used for command and control to make detection more difficult. By adding random or meaningless data to the protocols used for command and control, adversaries can prevent trivial methods for decoding, deciphering, or otherwise analyzing the traffic. Examples may include appending/prepending data with junk characters or writing junk characters between significant characters."
94,T1071,Application Layer Protocol,False,,enterprise,Linux; macOS; Windows; Network Devices; ESXi,Command and Control,High,5,10,15,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.0,8,2/3 agents agree with correlated evidence proxy,15.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Public Internet / Edge; Network / Perimeter; Server / Workload; Endpoint / User,0,,0,,Command; Network Traffic; Process,M1031; M1037,Network Intrusion Prevention; Filter Network Traffic,"Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. Adversaries may utilize many different protocols, including those used for web browsing, transferring files, electronic mail, DNS, or publishing/subscribing. For connections that occur internally within an encl..."
